mode,invocation_id,runtime_sec,context_load_sec,library_setup_sec,compute_sec,start_wall_time,end_wall_time,checksum,completion_sec,workers
L2,63,0.016576900000018213,0.0038130689999889,0.0,0.0014137289999780478,1781386834.3782425,1781386834.3948216,0.03162277660165232,9.521224737167358,1
L2,64,0.01712964300031672,0.003810545999840542,0.0,0.0013854159997208626,1781386834.530242,1781386834.5473738,0.03162277660165211,9.673776865005493,1
L2,65,0.016572434999943653,0.0037838469997950597,0.0,0.0013933370000813738,1781386834.681509,1781386834.6980839,0.031622776601652365,9.82448697090149,1
L2,66,0.01667521300032604,0.003800689999934548,0.0,0.0014032890003363718,1781386834.8324869,1781386834.8491638,0.03162277660165204,9.975566864013672,1
L2,67,0.016692642999714735,0.003795291000187717,0.0,0.00141097699997772,1781386834.984548,1781386835.0012429,0.03162277660165221,10.12764596939087,1
L2,68,0.016525953999916965,0.003757061999749567,0.0,0.0013969960000395076,1781386835.1358924,1781386835.1524208,0.03162277660165235,10.278823852539062,1
L2,69,0.01809046100015621,0.0037460450002981815,0.0,0.0015292690000023867,1781386835.286075,1781386835.3041675,0.031622776601652185,10.430570602416992,1
L2,70,0.017118420000315382,0.004216028999962873,0.0,0.0014308200002233207,1781386835.4407077,1781386835.457828,0.03162277660165205,10.58423113822937,1
L2,71,0.016948859999956767,0.004178726999725768,0.0,0.0013855269999112352,1781386835.5904207,1781386835.6073716,0.03162277660165213,10.733774662017822,1
L2,72,0.016001648000383284,0.00377837099995304,0.0,0.0013553739995586511,1781386835.738797,1781386835.7548003,0.031622776601652317,10.881203413009644,1
L2,73,0.01598014000001058,0.003723423999872466,0.0,0.0013292819999151106,1781386835.8839002,1781386835.8998823,0.03162277660165245,11.026285409927368,1
L2,74,0.015991605000181153,0.0036899679998896318,0.0,0.0013929189999544178,1781386836.0300581,1781386836.0460527,0.03162277660165237,11.172455787658691,1
L2,75,0.015824171000076603,0.003629896999882476,0.0,0.0013850390000698098,1781386836.1752021,1781386836.1910286,0.03162277660165255,11.317431688308716,1
L2,76,0.017429775999971753,0.0037504810002246813,0.0,0.0014159090001157892,1781386836.321592,1781386836.3390236,0.031622776601651914,11.465426683425903,1
L2,77,0.015972607999628963,0.003734536999672855,0.0,0.0013667200000782032,1781386836.4698436,1781386836.4858181,0.03162277660165256,11.612221240997314,1
L2,78,0.0160877650000657,0.0037084089999552816,0.0,0.0013536699998439872,1781386836.614512,1781386836.6306012,0.03162277660165201,11.757004261016846,1
L2,79,0.01585822500010181,0.003650018999906024,0.0,0.0013366080002015224,1781386836.759675,1781386836.7755353,0.031622776601652185,11.901938438415527,1
L2,80,0.015970720000041183,0.0037490620002245123,0.0,0.0013482629997270124,1781386836.9055526,1781386836.9215252,0.03162277660165191,12.04792833328247,1
L2,81,0.015864440000314062,0.0037052779998703045,0.0,0.0013557229999605624,1781386837.0503595,1781386837.066226,0.03162277660165228,12.192629098892212,1
L2,82,0.016357822999907512,0.004114880000088306,0.0,0.001346158000160358,1781386837.1953166,1781386837.2116761,0.03162277660165166,12.33807921409607,1
L2,83,0.016608822999842232,0.004168899000433157,0.0,0.001389334000123199,1781386837.341454,1781386837.358065,0.03162277660165222,12.48446798324585,1
L2,84,0.015962728999966203,0.0037469839999175747,0.0,0.0013682100002370134,1781386837.4867373,1781386837.5027015,0.03162277660165221,12.629104614257812,1
